Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Ecuador,ECU,126000000,-23439367.9139981,727081206.263418,772389946.091118,1322701337.30748,764190868.12224,629582412.259198,1389198763.14022,979020496.243027,1094715900.76402,647301150.926887,829041803.529517
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Egypt, Arab Rep.",EGY,734000000,1235000000,4192200000,4612200000,6925200000,8106800000,7408700000,8141300000,9010100000,5851800000,5122300000,11399900000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,El Salvador,SLV,1898272.08566561,173400000,245179098.280128,506295970.34993,494541718.092298,479469380.713821,503801415.183001,412743968.360673,696287032.758767,386532637.677301,827195488.778979,-388706.860000312
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Equatorial Guinea,GNQ,11073778.6647058,154499589.8738,582948701.8906,167875182.5769,233325072.8367,53998812.9036,304827249.4895,396077780.0117,452287112.0704,410016918.3231,459848321.2854,458509902.9987
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Eritrea,ERI,..,27870106.7,43859000,46511000,49323000,52305000,55468000,61015000,-60671910,-30349590,-31228190,-32045670
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Estonia,EST,..,416214286.787887,1097942106.98721,1781648554.48116,-715465129.889722,925762256.709316,1735775304.25103,1232358347.85304,3052870944.49206,3616480317.59217,7361224247.53812,1530123234.73147
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Eswatini,SWZ,30108364.9914568,90658006.1898746,81790158.3971155,25782635.1713071,31498094.370293,26852077.6519874,-57647593.3929901,31130826.6571528,127970921.965401,38787632.6722704,112865288.26855,13350248.303289
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Ethiopia,ETH,0,134639999.9,1343876023.73137,1855052153.64106,2626517918.313,4142937496.46329,4017159564.65434,3360419368.65295,2548743427.35754,2395799880.65984,4259445795.28263,3669991332.17486
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Fiji,FJI,-30386755.8761797,591375.114626136,243782754.036692,377869372.267012,205373209.116505,391619655.400882,387602565.305446,468861002.876235,322282826.115833,239380737.903611,409894560.465739,103581591.564163
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Finland,FIN,812172838.219176,13502068644.6076,-4922279528.51917,17528599997.1113,17485137455.9981,5124075140.91557,17149122038.4329,-10571698824.8262,15611668561.8503,-2487590239.30074,23869274273.1603,9139669355.04597
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,France,FRA,13183285334.811,41389082664.7628,31589283790.5549,5804878132.66635,42825414105.9409,32803666728.594,35868111746.0373,77493098693.2378,53499337503.7413,19368829836.4655,95864839855.8147,105424958013.771
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,French Polynesia,PYF,22160000,9874719,99207173.3507257,61928773.3065056,26007149.1590192,61544514.3227108,90038650.7711,5937841.3702,12731152.748,-15547612.9028,-25624447.7176,-9480302.6
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Gabon,GAB,73457901.5900881,278061231.967685,324032442.445876,1263109047.12989,41707702.3264655,1243660159.686,1314029329.7202,1379070815.8589,1553136875.4115,1716511505.5221,1529221084.1177,1104592039.0423
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Gambia, The",GMB,14119999.9,43520000,68340322.378848,23014092.0424561,71976051.7034138,69830172.212844,64338516.0351372,81805006.5959045,71083305.8667937,189576190.794227,251822628.807366,236000000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Georgia,GEO,..,131466678.34,1046562195.15,1836879042.83,1735285391.9,1659819993.32,1930381394.76,1304946394.07,1382476632.7,551844400.59,1267373915.68,2033803142.44
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Germany,DEU,2556702845.61154,248007397121.859,67199694458.9368,19532082849.0843,62475577277.7991,64744235790.2129,109485971372.509,166915563991.374,73974461220.6158,160800654975.269,95903989769.6243,47374917272.7408
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Ghana,GHA,14800000,165900000,3227000000,3363389444.44444,3192320530.7897,3485333369.27964,3254990000,2989035000,3879831469.7,1875782953.46905,2612789792.55474,1472600000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
